job_0: TOTAL: 1066, ACCEPT: 400(37.52%), REJECT: 351(32.93%), RESERVE: 315(29.55%)
job_1: TOTAL: 883, ACCEPT: 362(41.00%), REJECT: 242(27.41%), RESERVE: 279(31.60%)
job_2: TOTAL: 1031, ACCEPT: 401(38.89%), REJECT: 289(28.03%), RESERVE: 341(33.07%)
job_3: TOTAL: 1235, ACCEPT: 486(39.35%), REJECT: 359(29.07%), RESERVE: 390(31.58%)
job_4: TOTAL: 1227, ACCEPT: 439(35.78%), REJECT: 406(33.09%), RESERVE: 382(31.13%)
job_5: TOTAL: 855, ACCEPT: 304(35.56%), REJECT: 272(31.81%), RESERVE: 279(32.63%)
job_6: TOTAL: 361, ACCEPT: 138(38.23%), REJECT: 104(28.81%), RESERVE: 119(32.96%)
job_7: TOTAL: 651, ACCEPT: 260(39.94%), REJECT: 181(27.80%), RESERVE: 210(32.26%)
job_8: TOTAL: 659, ACCEPT: 285(43.25%), REJECT: 173(26.25%), RESERVE: 201(30.50%)
job_9: TOTAL: 1070, ACCEPT: 476(44.49%), REJECT: 276(25.79%), RESERVE: 318(29.72%)
job_10: TOTAL: 575, ACCEPT: 223(38.78%), REJECT: 178(30.96%), RESERVE: 174(30.26%)
job_11: TOTAL: 1272, ACCEPT: 473(37.19%), REJECT: 394(30.97%), RESERVE: 405(31.84%)
job_12: TOTAL: 344, ACCEPT: 287(83.43%), REJECT: 53(15.41%), RESERVE: 4(1.16%)
job_13: TOTAL: 1280, ACCEPT: 459(35.86%), REJECT: 444(34.69%), RESERVE: 377(29.45%)
job_14: TOTAL: 284, ACCEPT: 193(67.96%), REJECT: 39(13.73%), RESERVE: 52(18.31%)
job_15: TOTAL: 135, ACCEPT: 25(18.52%), REJECT: 60(44.44%), RESERVE: 50(37.04%)
job_16: TOTAL: 1047, ACCEPT: 431(41.17%), REJECT: 271(25.88%), RESERVE: 345(32.95%)
job_17: TOTAL: 1098, ACCEPT: 374(34.06%), REJECT: 356(32.42%), RESERVE: 368(33.52%)
job_18: TOTAL: 482, ACCEPT: 277(57.47%), REJECT: 84(17.43%), RESERVE: 121(25.10%)
job_19: TOTAL: 798, ACCEPT: 310(38.85%), REJECT: 238(29.82%), RESERVE: 250(31.33%)
job_20: TOTAL: 1005, ACCEPT: 420(41.79%), REJECT: 248(24.68%), RESERVE: 337(33.53%)
job_21: TOTAL: 1024, ACCEPT: 451(44.04%), REJECT: 254(24.80%), RESERVE: 319(31.15%)
job_22: TOTAL: 649, ACCEPT: 224(34.51%), REJECT: 227(34.98%), RESERVE: 198(30.51%)
job_23: TOTAL: 62, ACCEPT: 53(85.48%), REJECT: 9(14.52%), RESERVE: 0(0.00%)
job_24: TOTAL: 941, ACCEPT: 415(44.10%), REJECT: 266(28.27%), RESERVE: 260(27.63%)
job_25: TOTAL: 804, ACCEPT: 433(53.86%), REJECT: 193(24.00%), RESERVE: 178(22.14%)
job_26: TOTAL: 331, ACCEPT: 125(37.76%), REJECT: 91(27.49%), RESERVE: 115(34.74%)
job_27: TOTAL: 550, ACCEPT: 226(41.09%), REJECT: 179(32.55%), RESERVE: 145(26.36%)
job_28: TOTAL: 866, ACCEPT: 323(37.30%), REJECT: 268(30.95%), RESERVE: 275(31.76%)
job_29: TOTAL: 370, ACCEPT: 190(51.35%), REJECT: 72(19.46%), RESERVE: 108(29.19%)
job_30: TOTAL: 3788, ACCEPT: 155(4.09%), REJECT: 3479(91.84%), RESERVE: 154(4.07%)
job_31: TOTAL: 1211, ACCEPT: 447(36.91%), REJECT: 379(31.30%), RESERVE: 385(31.79%)
job_32: TOTAL: 572, ACCEPT: 303(52.97%), REJECT: 141(24.65%), RESERVE: 128(22.38%)
job_33: TOTAL: 1662, ACCEPT: 439(26.41%), REJECT: 1123(67.57%), RESERVE: 100(6.02%)
